Car Number,Best Lap Time,Sector 1 Time,Sector 2 Time,Sector 3 Time
1,84.32,25.21,25.32,25.32
14,90.40,25.65,25.30,26.42
77,81.77,25.16,25.43,25.14
27,84.83,25.29,26.00,25.46
23,85.56,25.40,25.71,25.03
44,83.56,25.77,25.01,25.05
20,85.38,25.13,25.20,25.45
31,87.60,25.14,25.42,25.11
18,89.36,25.98,25.83,26.30
24,85.86,25.46,25.01,25.09
81,81.45,25.65,25.03,25.21
16,79.93,25.34,26.16,25.32
3,81.03,25.10,25.09,25.79
55,84.08,25.54,25.79,25.33
11,83.69,25.56,25.50,25.22
10,80.08,25.52,25.08,25.02
63,85.64,25.54,25.04,25.17
22,84.48,25.09,25.02,25.57
4,84.86,25.61,25.05,25.37
2,82.07,26.60,26.45,25.25

Best Sector Times
Sector 1,25.09
Sector 2,25.01
Sector 3,25.02
Best Overall Lap,79.93
