Car Number,Best Lap Time,Sector 1 Time,Sector 2 Time,Sector 3 Time
3,81.96,29.53,26.85,25.47
20,83.12,25.06,26.35,26.42
31,84.80,26.23,26.60,31.22
27,85.20,25.45,25.27,28.05
1,85.99,26.44,25.26,28.66
23,86.21,26.41,27.24,25.11
14,86.56,25.59,25.02,28.57
18,87.77,25.75,26.50,30.09
81,87.97,25.27,27.11,25.72
2,89.13,26.75,25.17,26.26
24,89.47,27.55,26.76,25.50
55,89.69,25.09,25.61,26.02
63,90.10,27.16,25.58,26.42
11,90.55,26.13,25.65,25.84
44,92.69,26.92,25.92,25.23

Best Sector Times
Sector 1,25.06
Sector 2,25.02
Sector 3,25.11
Best Overall Lap,81.96
